"","rep","dispersal","sig_niche","alpha","space_var_part_Space","space_var_part_both","space_var_part_Environment","space_var_part_Residual"
"1","10","0.000215443469003188","0.1","0.5",NA,NA,"NaN",NA
"2","10","0.000215443469003188","0.1","1.5",NA,NA,"NaN",NA
"3","10","0.000215443469003188","0.1","equal",NA,NA,"NaN",NA
"4","10","0.000215443469003188","0.1","patch",NA,NA,"NaN",NA
"5","10","0.000215443469003188","0.215443469003188","0.5","0","0.0500250409615011","0.0896841334081525","0.862805929439062"
"6","10","0.000215443469003188","0.215443469003188","1.5","0.0117053757198808","0.0577557038584158","0.0952072919596059","0.835331628462098"
"7","10","0.000215443469003188","0.215443469003188","equal","0","0.000858625658835654","0.0667924338202877","0.95977098874003"
"8","10","0.000215443469003188","0.215443469003188","patch","0.0427514655419794","0.0159477686970197","0","0.966367393575932"
"9","10","0.000215443469003188","0.464158883361278","0.5","0","0.042587154332165","0.111418702583825","0.857909478623557"
"10","10","0.000215443469003188","0.464158883361278","1.5","0.0730707594810771","0.0294959157254747","0","0.898345489953863"
"11","10","0.000215443469003188","0.464158883361278","equal","0","0.0356262434845291","0.0482340647711726","0.931817362046098"
"12","10","0.000215443469003188","0.464158883361278","patch","0.000730660173413389","0.00596338807372165","0.00906948132473684","0.984236470428128"
"13","10","0.000215443469003188","10","0.5","0.00119378814996829","0","0.000486050621536838","0.998337057864196"
"14","10","0.000215443469003188","10","1.5","0","0.00668374959248397","0.00299458630658078","0.994337179945961"
"15","10","0.000215443469003188","10","equal","0","0.00162111612178073","0","0.999915171012243"
"16","10","0.000215443469003188","10","patch","0.0177731080554558","0","0.029411543882583","0.981112415365968"
"17","10","0.000215443469003188","1","0.5","0.049107018545926","0.0102300091507932","0.00840170588086309","0.932261266422418"
"18","10","0.000215443469003188","1","1.5","0.0731594132558271","0.0281930963973943","0.0240029782602061","0.874644512086572"
"19","10","0.000215443469003188","1","equal","0","0","0.00217454813750373","1.00925645947531"
"20","10","0.000215443469003188","1","patch","0.0523624155284688","0","0.0146187308182321","0.956664948228207"
"21","10","0.000215443469003188","2.15443469003188","0.5","0.0191172929885105","0","0.00282321248110895","0.984827534199031"
"22","10","0.000215443469003188","2.15443469003188","1.5","0","0.00401939402836415","0","1.02561217178309"
"23","10","0.000215443469003188","2.15443469003188","equal","0.0247900303411486","0.00731289731381135","7.7732758728688e-06","0.967889299069167"
"24","10","0.000215443469003188","2.15443469003188","patch","0.0725238061708792","0","0.032369454143671","0.938243357066341"
"25","10","0.000215443469003188","4.64158883361278","0.5","0.0173099823645637","0","0.000711077970116825","0.983900348680175"
"26","10","0.000215443469003188","4.64158883361278","1.5","0.0413785434077505","0","0.00078397391546059","0.96024264038538"
"27","10","0.000215443469003188","4.64158883361278","equal","0.0125661892188094","0","0.00519908219077836","0.98426880647602"
"28","10","0.000215443469003188","4.64158883361278","patch","0","0.0121002727488387","0.010088729561834","0.982700690529618"
"29","10","0.000464158883361278","0.1","0.5",NA,NA,NA,NA
"30","10","0.000464158883361278","0.1","1.5","0.705617518250195","0.257465266812991","0","0.0412022400653047"
"31","10","0.000464158883361278","0.1","equal","0","0.180754614679721","0.149062173192974","0.76874884611728"
"32","10","0.000464158883361278","0.215443469003188","0.5","0.0290708984202677","0.0831639291217715","0.202988039352479","0.684777133105482"
"33","10","0.000464158883361278","0.215443469003188","1.5","0.00572089062322689","0.0606122338768217","0.155688879050087","0.777977996449864"
"34","10","0.000464158883361278","0.215443469003188","equal","0.00136116824121713","0.0260297261368537","0.158124235893267","0.814484869728662"
"35","10","0.000464158883361278","0.215443469003188","patch","0.463312920085679","0.048224358947068","0","0.519699257543322"
"36","10","0.000464158883361278","0.464158883361278","0.5","0.0118204720392687","0.0816438979900649","0.108294408796857","0.798241221173809"
"37","10","0.000464158883361278","0.464158883361278","1.5","0.0391275892205202","0.0335574340560403","0.0365984242659272","0.890716552457512"
"38","10","0.000464158883361278","0.464158883361278","equal","0.00504665343088517","0","0.0502586653231664","0.945100632584695"
"39","10","0.000464158883361278","0.464158883361278","patch","0","0.0232575066972531","0.0300385727776858","0.963974547985063"
"40","10","0.000464158883361278","10","0.5","0.0273828659488812","0.00308766669608707","0.0232976062455689","0.946231861109463"
"41","10","0.000464158883361278","10","1.5","0","0.00930800620408045","0","1.01060170030311"
"42","10","0.000464158883361278","10","equal","0","0","0.00445558197324414","1.01438120865281"
"43","10","0.000464158883361278","10","patch","NaN","NaN","NaN","NaN"
"44","10","0.000464158883361278","1","0.5","0.00682820190826749","0.00764315519603187","0","0.989539879979876"
"45","10","0.000464158883361278","1","1.5","0","0.0216836109376342","0","1.02749979648676"
"46","10","0.000464158883361278","1","equal","0.00203453219297545","0.0030173051612189","0","0.995926532655274"
"47","10","0.000464158883361278","1","patch","0","0.00433901867544761","0.00905448109080487","1.01057720399145"
"48","10","0.000464158883361278","2.15443469003188","0.5","0","0","0","1.01615608332839"
"49","10","0.000464158883361278","2.15443469003188","1.5","0.0703598533955783","0","0.0514090526945857","0.922868984574149"
"50","10","0.000464158883361278","2.15443469003188","equal","0","0.00130649773826153","0.00209565400448142","1.00602282361395"
"51","10","0.000464158883361278","2.15443469003188","patch","0.135532863943056","0","0.0167576025805241","0.856918870123883"
"52","10","0.000464158883361278","4.64158883361278","0.5","0.0232861735096944","0.00484017304446693","0.00897773683593672","0.962895916609902"
